Timestamp,"Apakah Anda bersedia mengisi survei ini?

Cuman sedikit kok pertanyaanya!","Berapa usia Anda? (tulis angka, contoh: 22)",Domisili Anda saat ini,"Pekerjaan utama Anda saat ini? 

Kalau punya lebih dari satu, pilih yang PALING UTAMA.",Biasanya Anda mendapatkan pekerjaan/pesanan dari mana? Pilih yang sesuai.,"Apakah pekerjaan ini menjadi sumber penghasilan utama Anda?

0 — Tidak, hanya tambahan 
1 — Kadang utama, kadang tambahan
2 — Ya, penghasilan utama"," Sudah berapa lama Anda menjalankan pekerjaan ini? (tulis dalam bulan, contoh: 8)",Berapa hari dalam seminggu ada bekerja?,"Berapa jam Anda bekerja dalam sehari? (tulis angka, contoh: 6)","Berapa penghasilan Anda minggu lalu? (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda dua minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda tiga minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda empat minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Dalam sebulan, di minggu mana penghasilan Anda biasanya paling tinggi?

1 — Minggu pertama 
2 — Minggu kedua 
3 — Minggu ketiga 
4 — Minggu keempat 
0 — Tidak ada pola, tiap bulan beda",Kapan biasanya penghasilan Anda lebih ramai? (pilih semua yang sesuai), Apa yang paling sering membuat penghasilan Anda naik atau turun? (pilih maksimal 3),"Kalau ada aplikasi yang bisa memperkirakan penghasilan Anda beberapa minggu ke depan, apakah itu membantu?","Fitur apa yang paling Anda butuhkan?

Pilih maksimal 3.","Ada cerita atau masukan tentang penghasilan tidak tetap yang mau Anda bagikan?

Boleh dikosongkan — tapi jawaban Anda sangat berarti untuk kami 🙏", Kontak Hadiah GoPay  
5/18/2026 17:07:33,Ya,19,Semarang,Freelance IT / website / programming / data,"Website freelance seperti Fiverr, Upwork, Projects.co.id, WhatsApp / kenalan / pelanggan langsung",0,83,4,4,325000,110000,275000,210000,1,"Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Rating atau ulasan pelanggan",2,Saran menabung,"Bulan kemarin lumayan, tapi bulan ini sepi banget.",
5/18/2026 10:14:28,Ya,19,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Content creator / admin media sosial,WhatsApp / kenalan / pelanggan langsung,2,47,5,6,180000,210000,260000,215000,0,"Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Akhir pekan atau hari libur",4,"Saran menabung, Perkiraan penghasilan minggu depan",,
5/18/2026 19:38:03,Ya,36,Sumatera,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,55,5,8,540000,255000,555000,650000,0,Awal bulan,"Jumlah pesanan atau project yang masuk, Jam saya bekerja",1,"Saran menabung, Tips mengatur uang buat pekerja seperti saya",,
5/18/2026 22:17:14,Ya,34,Sulawesi,Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",0,45,6,7,75000,440000,30000,205000,3,"Saat cuaca bagus, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Cuaca",1,Saran batas pengeluaran minggu ini,"income dari Ojek online ga stabil, makanya pengen ada tools buat bantu atur keuangan",
5/19/2026 09:40:50,Ya,33,Semarang,Jualan online / reseller / toko online,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",2,15,5,6,385000,385000,230000,285000,4,"Saat ada promo dari aplikasi, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",4,"Saran menabung, Perkiraan penghasilan minggu depan",,
5/19/2026 20:22:09,Ya,25,Lainnya,Tutor / guru les / pengajar lepas,Ruangguru / Superprof / platform les online,2,32,4,4,360000,265000,310000,290000,1,"Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit, Tanggal gajian / akhir bulan",3,"Perkiraan penghasilan minggu depan, Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun",,
5/19/2026 19:29:20,Ya,22,Sumatera,Content creator / admin media sosial,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",2,5,4,6,375000,155000,330000,445000,1,"Ramadan / menjelang Lebaran, Akhir pekan / Sabtu-Minggu, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",4,"Tips mengatur uang buat pekerja seperti saya, Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun","Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/19/2026 16:54:24,Ya,26,Jawa Tengah lainnya,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,9,6,7,645000,605000,560000,495000,2,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Kondisi fisik / capek / sakit",5,"Ringkasan pemasukan dan pengeluaran, Perkiraan penghasilan minggu depan",,
5/19/2026 10:55:43,Ya,17,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Freelance desain / editing / ilustrasi,"WhatsApp / kenalan / pelanggan langsung, Website freelance seperti Fiverr, Upwork, Projects.co.id",0,48,3,3,200000,135000,170000,140000,1,Awal bulan,"Jumlah pesanan atau project yang masuk, Jam saya bekerja, Rating atau ulasan pelanggan",3,"Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya",pengen tau minggu ini bakal dapat berapa biar bisa atur pengeluaran,
5/19/2026 20:23:47,Ya,23,Lainnya,Freelance desain / editing / ilustrasi,"Website freelance seperti Fiverr, Upwork, Projects.co.id",2,21,4,5,300000,470000,205000,355000,0,"Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan",3,"Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya","kalau akhir bulan biasa ramai, tapi ga selalu",
5/19/2026 15:08:08,Ya,20,Semarang,Jualan online / reseller / toko online,"WhatsApp / kenalan / pelanggan langsung, Shopee / Tokopedia / Lazada / marketplace",2,75,4,4,200000,350000,195000,160000,0,Ramadan / menjelang Lebaran,"Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",3,"Saran menabung, Perkiraan penghasilan minggu depan, Pengingat kalau penghasilan sedang turun",,
5/19/2026 16:44:59,Ya,29,Jawa Timur lainnya,Kurir / pengantar barang atau makanan,"WhatsApp / kenalan / pelanggan langsung, Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,4,6,9,1050000,535000,1045000,465000,1,"Harbolnas / tanggal kembar (11.11, 12.12), Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi, Jam saya bekerja",3,Saran menabung,pengen tau minggu ini bakal dapat berapa biar bisa atur pengeluaran,
5/19/2026 14:54:04,Ya,23,Surabaya,Freelance desain / editing / ilustrasi,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",2,34,2,7,20000,170000,165000,230000,3,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",5,"Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya, Pengingat kalau penghasilan sedang turun",,
5/19/2026 09:49:25,Ya,36,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Kurir / pengantar barang atau makanan,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,23,6,9,695000,95000,415000,465000,0,"Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",4,"Saran menabung, Tips mengatur uang buat pekerja seperti saya","income ga pernah sama tiap minggu, bikin pusing budgeting",
5/19/2026 21:13:07,Ya,18,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Freelance desain / editing / ilustrasi,"Website freelance seperti Fiverr, Upwork, Projects.co.id",1,9,5,5,745000,440000,365000,340000,2,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Rating atau ulasan pelanggan",1,"Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya, Pengingat kalau penghasilan sedang turun","Bulan kemarin lumayan, tapi bulan ini sepi banget.",
5/19/2026 13:08:16,Ya,36,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Jualan online / reseller / toko online,Shopee / Tokopedia / Lazada / marketplace,1,3,4,5,90000,380000,20000,225000,0,"Akhir bulan / tanggal gajian, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",5,"Saran menabung, Perkiraan penghasilan minggu depan","Bulan kemarin lumayan, tapi bulan ini sepi banget.",
5/20/2026 22:52:24,Ya,41,Kalimantan,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,1,17,6,9,380000,345000,650000,250000,4,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Kondisi fisik / capek / sakit",4,"Saran menabung, Ringkasan pemasukan dan pengeluaran",,
5/20/2026 13:47:56,Ya,32,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Jualan online / reseller / toko online,Shopee / Tokopedia / Lazada / marketplace,2,42,4,6,445000,90000,235000,265000,0,"Ramadan / menjelang Lebaran, Saat ada promo dari aplikasi, Awal bulan","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi, Akhir pekan atau hari libur",5,Saran menabung,"Waktu lebaran lumayan ramai, tapi habis itu sepi lagi.",
5/20/2026 16:42:10,Ya,26,Surabaya,Tutor / guru les / pengajar lepas,WhatsApp / kenalan / pelanggan langsung,2,4,4,4,495000,220000,405000,285000,2,"Akhir bulan / tanggal gajian, Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",5,"Saran menabung, Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan","Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/20/2026 22:32:35,Ya,24,Jawa Timur lainnya,Content creator / admin media sosial,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",1,36,6,6,395000,380000,330000,395000,2,"Ramadan / menjelang Lebaran, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",4,"Saran menabung, Ringkasan pemasukan dan pengeluaran","income ga pernah sama tiap minggu, bikin pusing budgeting",
5/20/2026 21:14:47,Ya,36,Semarang,Content creator / admin media sosial,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",1,28,2,4,120000,65000,90000,10000,4,"Akhir pekan / Sabtu-Minggu, Harbolnas / tanggal kembar (11.11, 12.12), Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",3,Saran menabung,susah menabung karena ga tau kapan dapat banyak,
5/20/2026 19:30:35,Ya,40,Yogyakarta,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,25,6,9,90000,380000,125000,530000,1,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",4,"Perkiraan penghasilan minggu depan, Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun","kadang weekend ramai banget, weekday sepi",
5/20/2026 11:39:59,Ya,33,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Jualan online / reseller / toko online,"Instagram / TikTok / YouTube, Shopee / Tokopedia / Lazada / marketplace",1,21,4,7,290000,430000,300000,485000,1,"Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Promo dari platform / aplikasi",5,Tips mengatur uang buat pekerja seperti saya,"Waktu lebaran lumayan ramai, tapi habis itu sepi lagi.",
5/20/2026 18:58:42,Ya,20,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Content creator / admin media sosial,WhatsApp / kenalan / pelanggan langsung,1,34,2,2,70000,60000,110000,100000,0,"Akhir pekan / Sabtu-Minggu, Harbolnas / tanggal kembar (11.11, 12.12), Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",5,"Tips mengatur uang buat pekerja seperti saya, Pengingat kalau penghasilan sedang turun","Waktu harbolnas lumayan ramai, tapi habis itu sepi lagi.",
5/20/2026 17:56:24,Ya,23,Jawa Barat lainnya,Tutor / guru les / pengajar lepas,WhatsApp / kenalan / pelanggan langsung,0,12,5,5,30000,430000,210000,300000,1,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Jam saya bekerja, Tanggal gajian / akhir bulan",2,"Perkiraan penghasilan minggu depan, Saran batas pengeluaran minggu ini","kadang weekend ramai banget, weekday sepi",
5/20/2026 23:49:09,Ya,45,Kalimantan,Jualan online / reseller / toko online,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,25,7,5,30000,400000,305000,195000,0,"Saat ada promo dari aplikasi, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",4,Saran menabung,"kadang weekend ramai banget, weekday sepi",
5/20/2026 18:22:05,Ya,22,Yogyakarta,Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,30,5,10,360000,845000,770000,550000,0,Ramadan / menjelang Lebaran,"Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",5,"Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya",sering kali gak bisa bedain mana kebutuhan mana keinginan karena income ga pasti,
5/20/2026 19:25:39,Ya,25,Jawa Tengah lainnya,Jualan online / reseller / toko online,"Shopee / Tokopedia / Lazada / marketplace, WhatsApp / kenalan / pelanggan langsung",0,19,6,6,815000,370000,305000,295000,4,"Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",3,"Saran menabung, Perkiraan penghasilan minggu depan","Kadang sepi banget, bisa seminggu cuma dapat 250ribu.",
5/20/2026 15:46:32,Ya,43,Sulawesi,Kurir / pengantar barang atau makanan,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,42,6,10,305000,725000,380000,60000,0,"Awal bulan, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi, Jam saya bekerja",3,Saran menabung,,
5/21/2026 08:10:58,Ya,30,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Kurir / pengantar barang atau makanan,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,47,6,9,640000,740000,465000,500000,0,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Jam saya bekerja, Promo dari platform / aplikasi",5,"Saran menabung, Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya","kalau akhir bulan biasa ramai, tapi ga selalu",
5/21/2026 08:09:03,Ya,33,Bandung,Jualan online / reseller / toko online,"Shopee / Tokopedia / Lazada / marketplace, Instagram / TikTok / YouTube",0,58,4,4,200000,280000,245000,135000,2,"Ramadan / menjelang Lebaran, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi, Tanggal gajian / akhir bulan",3,"Perkiraan penghasilan minggu depan, Saran batas pengeluaran minggu ini",butuh fitur yang bisa ingetin kalau udah boros,
5/21/2026 16:33:13,Ya,36,Yogyakarta,Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,4,6,10,75000,415000,700000,690000,4,"Saat ada promo dari aplikasi, Akhir pekan / Sabtu-Minggu, Saat cuaca bagus","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Promo dari platform / aplikasi",5,"Saran menabung, Ringkasan pemasukan dan pengeluaran",Susah ngatur pengeluaran kalau pendapatan ga menentu.,
5/21/2026 14:21:22,Ya,20,Jawa Tengah lainnya,Freelance desain / editing / ilustrasi,"Website freelance seperti Fiverr, Upwork, Projects.co.id",1,28,4,7,240000,265000,300000,235000,0,"Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",3,Ringkasan pemasukan dan pengeluaran,Susah ngatur pengeluaran kalau pendapatan ga menentu.,
5/21/2026 20:26:59,Ya,17,Semarang,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,25,6,9,725000,560000,270000,465000,4,Awal bulan,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Jam saya bekerja",5,"Ringkasan pemasukan dan pengeluaran, Perkiraan penghasilan minggu depan",butuh fitur yang bisa ingetin kalau udah boros,
5/21/2026 11:19:11,Ya,23,Sumatera,Content creator / admin media sosial,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",0,34,4,4,185000,245000,95000,230000,3,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",3,Tips mengatur uang buat pekerja seperti saya,pengen tau minggu ini bakal dapat berapa biar bisa atur pengeluaran,
5/21/2026 21:06:33,Ya,30,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",0,31,7,10,485000,285000,475000,280000,4,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Jam saya bekerja",2,"Saran menabung, Saran batas pengeluaran minggu ini","Waktu akhir bulan lumayan ramai, tapi habis itu sepi lagi.",
5/21/2026 08:57:43,Ya,32,Sumatera,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,25,6,8,360000,545000,620000,340000,4,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",4,Saran batas pengeluaran minggu ini,"pernah seminggu cuma dapat 50rb, padahal kerja tiap hari",
5/21/2026 20:56:20,Ya,24,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Freelance desain / editing / ilustrasi,"Website freelance seperti Fiverr, Upwork, Projects.co.id",1,5,4,4,330000,510000,225000,515000,1,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Jam saya bekerja",5,Saran menabung,"kalau akhir bulan biasa ramai, tapi ga selalu",
5/21/2026 10:42:04,Ya,42,Surabaya,Kurir / pengantar barang atau makanan,"WhatsApp / kenalan / pelanggan langsung, Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",1,18,5,10,705000,335000,735000,450000,1,"Awal bulan, Akhir pekan / Sabtu-Minggu, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",3,"Saran menabung, Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan","income ga pernah sama tiap minggu, bikin pusing budgeting",
5/21/2026 14:36:28,Ya,29,Sumatera,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,40,5,9,555000,350000,290000,700000,4,"Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",5,"Saran menabung, Tips mengatur uang buat pekerja seperti saya","pernah seminggu cuma dapat 250rb, padahal kerja tiap hari",
5/21/2026 16:42:11,Ya,27,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,35,5,9,580000,715000,525000,645000,4,"Akhir pekan / Sabtu-Minggu, Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Jam saya bekerja",3,"Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya","kalau akhir bulan biasa ramai, tapi ga selalu",
5/22/2026 17:54:46,Ya,18,Surabaya,Freelance IT / website / programming / data,"Website freelance seperti Fiverr, Upwork, Projects.co.id",2,15,5,7,635000,1175000,205000,985000,2,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Rating atau ulasan pelanggan",4,"Perkiraan penghasilan minggu depan, Saran batas pengeluaran minggu ini","Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/22/2026 16:30:36,Ya,26,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Freelance desain / editing / ilustrasi,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",1,16,6,7,470000,260000,525000,545000,3,"Akhir pekan / Sabtu-Minggu, Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Rating atau ulasan pelanggan",4,"Perkiraan penghasilan minggu depan, Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun","Penghasilan sering naik turun, susah nabung.",
5/22/2026 18:23:51,Ya,50,Sumatera,Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,12,5,8,830000,90000,185000,870000,0,Ramadan / menjelang Lebaran,"Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,"Saran menabung, Ringkasan pemasukan dan pengeluaran","Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/22/2026 13:45:24,Ya,43,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",1,32,6,7,705000,870000,585000,750000,0,"Saat ada promo dari aplikasi, Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Cuaca",3,"Saran menabung, Tips mengatur uang buat pekerja seperti saya",,
5/22/2026 20:00:26,Ya,37,Surabaya,Jualan online / reseller / toko online,"Shopee / Tokopedia / Lazada / marketplace, Instagram / TikTok / YouTube",0,16,3,6,55000,240000,195000,290000,3,"Saat ada promo dari aplikasi, Ramadan / menjelang Lebaran, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",4,"Perkiraan penghasilan minggu depan, Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun",butuh fitur yang bisa ingetin kalau udah boros,
5/22/2026 10:04:17,Ya,27,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,0,17,6,8,45000,365000,285000,45000,0,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,Saran menabung,susah menabung karena ga tau kapan dapat banyak,
5/22/2026 18:59:02,Ya,36,Sumatera,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,13,7,8,600000,930000,425000,400000,0,"Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",4,"Saran menabung, Ringkasan pemasukan dan pengeluaran",,
5/22/2026 11:35:02,Ya,25,Yogyakarta,Freelance desain / editing / ilustrasi,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,13,6,7,190000,240000,105000,170000,1,"Akhir pekan / Sabtu-Minggu, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Tanggal gajian / akhir bulan",5,"Tips mengatur uang buat pekerja seperti saya, Ringkasan pemasukan dan pengeluaran",,
5/22/2026 21:34:09,Ya,17,Lainnya,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,1,34,6,6,465000,140000,360000,650000,4,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit, Jam saya bekerja",1,Saran batas pengeluaran minggu ini,,
5/22/2026 14:07:43,Ya,24,Sumatera,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,5,4,7,215000,480000,75000,610000,2,"Akhir pekan / Sabtu-Minggu, Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,Saran menabung,,
5/22/2026 10:17:33,Ya,40,Semarang,Jualan online / reseller / toko online,"Shopee / Tokopedia / Lazada / marketplace, WhatsApp / kenalan / pelanggan langsung",1,9,6,7,280000,240000,240000,400000,4,"Harbolnas / tanggal kembar (11.11, 12.12), Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",4,"Saran menabung, Tips mengatur uang buat pekerja seperti saya, Pengingat kalau penghasilan sedang turun",penghasilan tergantung cuaca dan mood pelanggan,
5/22/2026 08:23:18,Ya,17,Surabaya,Freelance desain / editing / ilustrasi,"Website freelance seperti Fiverr, Upwork, Projects.co.id",0,8,4,3,310000,275000,100000,125000,0,"Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Rating atau ulasan pelanggan",2,Saran menabung,"Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/22/2026 08:27:09,Ya,44,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,22,7,8,670000,355000,525000,755000,1,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit, Akhir pekan atau hari libur",2,"Tips mengatur uang buat pekerja seperti saya, Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun","Waktu akhir bulan lumayan ramai, tapi habis itu sepi lagi.",
5/23/2026 14:33:31,Ya,18,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Tutor / guru les / pengajar lepas,"Ruangguru / Superprof / platform les online, WhatsApp / kenalan / pelanggan langsung",2,30,3,3,195000,215000,145000,220000,2,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Jam saya bekerja",5,"Saran menabung, Tips mengatur uang buat pekerja seperti saya",butuh fitur yang bisa ingetin kalau udah boros,
5/23/2026 10:18:15,Ya,19,Bali / NTB / NTT,Content creator / admin media sosial,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",0,18,5,4,290000,195000,305000,300000,1,"Akhir pekan / Sabtu-Minggu, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Akhir pekan atau hari libur",4,Tips mengatur uang buat pekerja seperti saya,"Penghasilan sering naik turun, susah nabung.",
5/23/2026 09:56:21,Ya,32,Yogyakarta,Jualan online / reseller / toko online,WhatsApp / kenalan / pelanggan langsung,1,18,6,4,100000,965000,675000,650000,0,Ramadan / menjelang Lebaran,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Promo dari platform / aplikasi",5,"Saran menabung, Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya",,
