
City,Hours_per_Day,Days_per_Month,Platform,Orders_Per_Day,PeakTime,Monthly_Salary (₹)
Kolkata,11,25,Dunzo,27,No,46406.25
Bengaluru,10,25,Grab,22,No,47596.15
Delhi NCR,7,29,Dunzo,12,Yes,21900.58
London,11,30,Zepto,20,Yes,279230.77
Kochi,7,27,Swiggy,24,Yes,26387.31
Delhi NCR,8,28,Deliveroo,18,Yes,36249.23
Ahmedabad,8,24,Talabat,18,Yes,24673.85
Singapore,12,29,Talabat,15,Yes,131127.4
Indore,7,27,Deliveroo,16,Yes,19190.77
Hyderabad,7,30,Dunzo,29,No,43918.27
London,11,23,Deliveroo,19,Yes,203373.08
Jaipur,9,30,Swiggy,19,Yes,33912.26
Kolkata,6,29,Talabat,10,No,10875.0
New York,6,22,Talabat,19,No,144692.31
Kolkata,6,22,Swiggy,29,Yes,26317.5
Ahmedabad,8,22,Dunzo,23,No,26273.08
Bengaluru,8,29,Zomato,13,Yes,28710.0
Kolkata,8,30,Talabat,21,No,31500.0
Indore,12,25,Zepto,28,No,48461.54
Bengaluru,10,23,Zepto,12,Yes,26273.08
Lucknow,6,29,Zomato,21,Yes,22222.64
Chennai,9,23,Dunzo,11,No,15325.96
Hyderabad,9,29,Zepto,22,No,41408.65
Chennai,12,26,Zomato,17,No,35700.0
London,6,30,Dunzo,10,No,69230.77
London,8,20,Grab,12,Yes,81230.77
Kolkata,8,27,Swiggy,24,No,32400.0
Lucknow,11,29,Swiggy,23,No,40565.14
Hyderabad,11,27,Zomato,15,Yes,35340.14
Pune,7,28,Zomato,11,No,16066.35
Ahmedabad,8,26,Grab,13,Yes,19305.0
London,6,23,Deliveroo,10,Yes,58384.62
Bengaluru,6,24,Grab,10,No,12461.54
Indore,10,25,Grab,27,Yes,42836.54
Kolkata,7,25,Zepto,19,Yes,22859.38
Pune,7,20,Talabat,16,Yes,18361.54
Dubai,6,27,Swiggy,21,Yes,58471.88
Lucknow,6,27,DoorDash,17,No,15226.44
Bengaluru,7,20,Talabat,16,Yes,21323.08
Delhi NCR,11,23,Dunzo,13,No,26881.25
Singapore,10,29,Swiggy,30,No,198677.88
Pune,8,21,Zomato,24,Yes,33050.77
Pune,11,30,Dunzo,12,Yes,32460.58
Jaipur,11,26,Swiggy,10,No,17187.5
New York,12,30,Dunzo,30,Yes,685384.62
Jaipur,6,27,Zepto,23,Yes,24631.01
Delhi NCR,11,21,Grab,19,No,35871.63
Dubai,12,27,Dunzo,20,No,101250.0
Hyderabad,8,21,Zepto,12,No,14538.46
New York,10,25,Blinkit,26,No,375000.0
Delhi NCR,9,29,DoorDash,25,No,53329.33
Jaipur,10,30,Talabat,23,No,41466.35
Lucknow,12,29,Dunzo,19,No,36556.73
Mumbai,8,26,Deliveroo,14,Yes,26950.0
Pune,12,25,Zepto,17,Yes,41805.29
Kochi,6,20,Blinkit,23,No,14596.15
Indore,7,21,Dunzo,21,No,17809.62
Dubai,6,21,Talabat,21,Yes,45478.13
New York,8,30,Blinkit,11,No,152307.69
Dubai,8,27,Dunzo,19,Yes,70537.5
Kolkata,11,29,Blinkit,28,Yes,61407.5
London,8,22,Blinkit,17,Yes,126584.62
Delhi NCR,8,29,Deliveroo,13,Yes,27115.0
Hyderabad,7,25,Talabat,23,Yes,31929.09
Pune,11,22,Blinkit,28,Yes,55543.65
Kochi,9,24,Dunzo,10,No,11423.08
Indore,7,20,Zomato,26,No,21000.0
Jaipur,8,26,Dunzo,21,Yes,28875.0
Mumbai,11,24,Zepto,19,Yes,46422.12
Chennai,11,28,Blinkit,24,No,49753.85
London,11,29,Dunzo,19,Yes,256426.92
Hyderabad,12,25,Deliveroo,14,No,30288.46
Kolkata,12,29,Deliveroo,23,Yes,55027.5
Singapore,10,30,Zomato,29,No,198677.88
Kolkata,8,24,Grab,21,Yes,27720.0
Indore,8,30,Talabat,26,Yes,39600.0
Mumbai,9,28,Dunzo,23,No,48764.42
Ahmedabad,11,27,Zomato,18,No,34697.6
Ahmedabad,9,22,Deliveroo,21,No,26987.02
London,7,25,Zomato,30,Yes,222115.38
New York,11,20,Blinkit,17,Yes,237346.15
Jaipur,10,26,DoorDash,21,No,32812.5
Singapore,9,29,Zomato,23,Yes,150796.51
Ahmedabad,9,20,DoorDash,19,No,22197.12
Hyderabad,8,20,DoorDash,29,No,33461.54
Kolkata,9,21,Grab,23,No,27168.75
Mumbai,6,30,Zomato,28,Yes,46644.23
Lucknow,8,23,DoorDash,19,Yes,21261.73
Mumbai,12,26,Talabat,11,No,28875.0
Pune,7,21,Talabat,27,Yes,32534.35
Indore,12,28,Dunzo,20,No,38769.23
Lucknow,6,29,Deliveroo,10,Yes,10582.21
Chennai,7,29,Zepto,26,Yes,39077.5
Mumbai,11,28,Zepto,26,No,67375.0
New York,7,23,Zepto,21,No,195057.69
Ahmedabad,8,28,Blinkit,22,No,31984.62
Lucknow,11,30,Deliveroo,30,Yes,60209.13
New York,8,23,DoorDash,20,No,212307.69
Dubai,11,26,Blinkit,23,No,102781.25
Indore,11,21,Deliveroo,16,No,21323.08
Delhi NCR,7,20,DoorDash,22,No,25173.08
Delhi NCR,12,24,Blinkit,13,No,30600.0
Kolkata,12,30,Talabat,18,No,40500.0
Jaipur,6,27,Zepto,23,No,22391.83
Hyderabad,6,21,Dunzo,15,Yes,14992.79
Chennai,11,24,Dunzo,20,No,35538.46
Indore,9,25,Blinkit,28,Yes,39980.77
Chennai,11,20,Grab,27,Yes,43978.85
Ahmedabad,9,27,Zepto,23,Yes,39902.24
London,7,22,Talabat,26,Yes,169400.0
Singapore,10,25,Blinkit,17,No,97055.29
Ahmedabad,9,27,Deliveroo,15,Yes,26023.2
Chennai,12,26,Dunzo,23,Yes,53130.0
Dubai,11,26,Zepto,10,No,44687.5
Hyderabad,12,29,Grab,19,Yes,52450.96
Bengaluru,8,21,Grab,16,No,23261.54
Pune,11,24,Swiggy,17,Yes,36788.65
Mumbai,8,21,Blinkit,30,No,42403.85
Kochi,9,30,Deliveroo,24,No,34269.23
Lucknow,12,23,Zomato,18,Yes,30214.04
Kochi,7,27,Grab,13,Yes,14293.13
New York,7,30,Zomato,15,Yes,199903.85
London,11,30,Dunzo,28,No,355384.62
London,10,30,Deliveroo,12,Yes,152307.69
Chennai,7,27,Dunzo,28,Yes,39181.15
Chennai,11,21,Talabat,10,No,15548.08
London,9,21,Deliveroo,19,Yes,151926.92
Singapore,10,23,Grab,25,No,131310.1
Ahmedabad,8,23,Deliveroo,15,Yes,19704.81
Jaipur,11,22,Swiggy,19,No,27632.21
Jaipur,11,20,Grab,12,Yes,17451.92
Chennai,9,25,DoorDash,24,No,36346.15
Delhi NCR,6,22,Talabat,21,No,22655.77
Dubai,8,22,Talabat,17,No,46750.0
Pune,8,29,Zepto,25,Yes,47543.27
Singapore,11,26,Deliveroo,21,No,137156.25
London,9,24,Zomato,10,No,83076.92
Ahmedabad,7,21,Blinkit,16,No,15265.38
London,11,20,Dunzo,11,No,93076.92
Bengaluru,8,22,Blinkit,15,Yes,25130.77
Ahmedabad,10,21,Swiggy,19,Yes,28486.3
Singapore,6,22,Dunzo,20,No,60288.46
Lucknow,7,27,Swiggy,16,Yes,18391.15
Chennai,9,25,Dunzo,18,Yes,29985.58
Dubai,7,23,Dunzo,21,No,52828.12
London,9,20,Talabat,23,No,159230.77
London,6,22,Talabat,26,No,132000.0
Pune,10,23,Dunzo,17,No,29137.02
Lucknow,9,25,Dunzo,23,No,28611.78
Mumbai,7,30,Talabat,16,Yes,31096.15
Kolkata,6,26,Grab,28,Yes,30030.0
Ahmedabad,11,25,Grab,30,No,53545.67
Kolkata,7,24,Zomato,18,Yes,20790.0
Bengaluru,7,26,Talabat,29,Yes,50242.5
Bengaluru,11,20,Zomato,15,No,28557.69
Pune,10,28,Zepto,22,Yes,50494.23
Bengaluru,9,21,DoorDash,24,No,39253.85
Hyderabad,8,26,Deliveroo,10,Yes,16500.0
Delhi NCR,10,22,Zepto,16,No,28769.23
Lucknow,9,25,Deliveroo,18,Yes,24631.01
Ahmedabad,11,30,Grab,23,Yes,54188.22
Dubai,9,28,Deliveroo,29,No,114187.5
Jaipur,6,20,Talabat,29,Yes,23004.81
Indore,12,29,Dunzo,11,Yes,24293.08
Singapore,6,22,Zomato,19,Yes,63001.44
Mumbai,10,30,Swiggy,20,No,50480.77
Dubai,10,26,Blinkit,20,No,81250.0
New York,10,21,Deliveroo,22,No,266538.46
Mumbai,12,30,Blinkit,16,No,48461.54
Delhi NCR,10,20,Blinkit,10,Yes,17980.77
Indore,7,27,Talabat,19,Yes,22789.04
Kolkata,10,20,Zepto,12,No,15000.0
Indore,6,26,DoorDash,25,No,22500.0
Dubai,12,22,Deliveroo,13,No,53625.0
Kochi,10,24,Dunzo,28,No,35538.46
Bengaluru,6,25,Deliveroo,29,No,37644.23
Chennai,11,21,DoorDash,21,Yes,35916.06
Dubai,12,27,Deliveroo,20,No,101250.0
Singapore,7,24,Zomato,20,Yes,84403.85
Delhi NCR,10,22,Talabat,25,No,44951.92
Chennai,8,27,Talabat,19,No,27623.08
Kochi,6,29,Talabat,16,Yes,16195.38
Chennai,12,25,DoorDash,20,No,40384.62
Lucknow,10,22,Zomato,30,No,36490.38
Chennai,6,27,Talabat,26,Yes,31185.0
Lucknow,12,20,Blinkit,25,No,33173.08
Lucknow,10,30,Zomato,11,No,18245.19
Ahmedabad,10,27,Swiggy,25,Yes,48191.11
Pune,10,29,Blinkit,25,No,54026.44
Jaipur,11,27,Grab,18,Yes,35340.14
Bengaluru,12,28,DoorDash,30,Yes,95953.85
Singapore,7,26,Deliveroo,15,Yes,68578.12
Mumbai,9,21,Zepto,13,Yes,22739.06
Lucknow,8,30,Talabat,27,No,35826.92
Singapore,10,30,Blinkit,19,Yes,143185.1
Bengaluru,7,22,DoorDash,15,Yes,21989.42
Chennai,11,30,Zepto,12,No,26653.85
Delhi NCR,8,25,Talabat,29,Yes,52144.23
New York,11,20,DoorDash,19,No,241153.85
Mumbai,10,23,Zepto,24,Yes,51086.54
Indore,12,24,Zepto,16,Yes,29243.08
Lucknow,11,28,Swiggy,17,Yes,31843.94
Bengaluru,7,22,Deliveroo,27,No,35982.69
Lucknow,10,29,Zepto,25,Yes,44092.55
Chennai,10,23,Deliveroo,30,No,46442.31
Pune,12,26,Zomato,11,Yes,28132.5
Pune,12,21,Talabat,24,No,45069.23
Mumbai,8,28,Zomato,29,Yes,60119.23
Chennai,10,28,Swiggy,19,Yes,39388.46
Bengaluru,7,26,Grab,16,No,25200.0
Hyderabad,7,23,Dunzo,17,No,19737.98
Hyderabad,11,27,Zomato,14,Yes,32984.13
Indore,7,25,Swiggy,27,Yes,29985.58
Lucknow,10,23,Zepto,15,Yes,20981.97
Jaipur,7,24,Dunzo,29,Yes,32206.73
Kochi,11,20,Grab,27,Yes,34554.81
Hyderabad,10,25,Grab,16,No,28846.15
Singapore,9,22,Zomato,26,No,117562.5
Hyderabad,8,24,Blinkit,21,Yes,31984.62
Mumbai,7,26,Blinkit,11,Yes,18528.12
Jaipur,9,24,Swiggy,14,No,18173.08
New York,9,24,Dunzo,16,No,199384.62
Delhi NCR,8,25,Deliveroo,16,Yes,28769.23
New York,8,25,Talabat,10,Yes,126923.08
London,7,28,Dunzo,25,Yes,207307.69
Singapore,8,28,Talabat,18,No,92076.92
Kolkata,7,27,DoorDash,22,No,25987.5
Bengaluru,12,24,Zepto,24,Yes,65796.92
Kochi,9,30,Talabat,20,Yes,31413.46
Chennai,8,28,DoorDash,19,No,28646.15
New York,6,22,Talabat,15,No,114230.77
New York,8,22,Blinkit,29,No,294461.54
Bengaluru,10,20,Dunzo,20,No,34615.38
Bengaluru,6,28,Swiggy,28,No,40707.69
New York,7,20,Zepto,14,No,113076.92
Kolkata,7,21,Zomato,21,No,19293.75
Jaipur,8,30,DoorDash,17,Yes,26971.15
Pune,12,22,Dunzo,24,Yes,51936.92
Dubai,11,28,Zomato,25,Yes,132343.75
Ahmedabad,8,22,Deliveroo,30,Yes,37696.15
Mumbai,6,21,DoorDash,13,No,13781.25
Kolkata,11,25,Dunzo,19,No,32656.25
Dubai,9,23,Blinkit,17,No,54984.38
Bengaluru,10,29,Zepto,22,No,55211.54
Singapore,6,23,Zomato,10,Yes,34665.87
Kochi,11,29,Blinkit,27,No,45549.52
Lucknow,8,20,Dunzo,25,Yes,24326.92
Indore,8,29,Talabat,26,No,34800.0
Jaipur,12,24,Grab,12,No,20769.23
Kochi,10,30,DoorDash,29,No,46009.62
Kochi,6,20,Deliveroo,11,Yes,7678.85
Ahmedabad,9,29,Deliveroo,23,Yes,42857.96
Indore,9,30,Dunzo,17,No,26480.77
Ahmedabad,12,29,Dunzo,27,Yes,67082.02
London,11,29,DoorDash,15,Yes,202442.31
New York,8,22,Blinkit,16,No,162461.54
London,11,24,Zomato,24,No,243692.31
Delhi NCR,7,21,Deliveroo,15,No,18021.63
Jaipur,6,27,Deliveroo,26,No,25312.5
Delhi NCR,10,29,Dunzo,28,No,66365.38
Hyderabad,8,28,Zomato,14,Yes,24876.92
Indore,12,30,Grab,21,No,43615.38
Mumbai,12,23,Blinkit,28,No,65019.23
Lucknow,11,28,Swiggy,19,Yes,35590.29
Jaipur,10,20,Zomato,25,No,30048.08
Jaipur,10,27,Deliveroo,26,No,42187.5
Kolkata,7,30,Dunzo,19,No,24937.5
Indore,10,28,Dunzo,25,No,40384.62
Jaipur,7,20,Dunzo,23,Yes,21286.06
New York,11,25,DoorDash,15,Yes,261778.85
Mumbai,7,22,Blinkit,11,No,14252.4
Bengaluru,12,27,Dunzo,10,Yes,30842.31
Ahmedabad,9,24,Grab,16,No,22430.77
Dubai,10,29,Zepto,10,Yes,49843.75
Kochi,11,25,Zepto,27,No,39266.83
Dubai,11,24,Blinkit,22,Yes,99825.0
Dubai,12,28,Grab,13,Yes,75075.0
Hyderabad,8,27,Grab,19,Yes,32555.77
Kolkata,7,20,Deliveroo,21,No,18375.0
London,11,27,Grab,11,No,125653.85
Kolkata,11,20,Deliveroo,13,Yes,19662.5
Dubai,12,23,Talabat,21,Yes,99618.75
Jaipur,11,26,Grab,14,No,24062.5
Chennai,12,27,DoorDash,13,Yes,31185.0
London,9,25,Swiggy,15,No,129807.69
Pune,7,26,Talabat,25,Yes,37296.88
Kochi,7,21,Swiggy,23,No,17880.29
Mumbai,7,23,DoorDash,25,No,33864.18
Lucknow,12,20,Zomato,23,No,30519.23
Delhi NCR,7,21,Zomato,21,No,25230.29
Delhi NCR,12,21,Grab,23,No,47371.15
Hyderabad,11,29,Dunzo,29,No,66713.94
Lucknow,8,27,Dunzo,10,Yes,13136.54
Chennai,10,24,Zepto,15,Yes,26653.85
Chennai,6,29,Grab,18,Yes,23188.85
Pune,8,26,Blinkit,13,Yes,22165.0
Dubai,12,24,Blinkit,28,No,126000.0
Hyderabad,7,27,Dunzo,30,No,40889.42
Dubai,9,20,Talabat,29,No,81562.5
Pune,6,29,Deliveroo,28,No,36305.77
Bengaluru,11,29,Deliveroo,12,No,33126.92
Indore,9,25,DoorDash,29,No,37644.23
Bengaluru,9,29,Talabat,17,No,38397.12
Mumbai,12,22,Blinkit,19,No,42201.92
Indore,12,24,Blinkit,15,Yes,27415.38
Bengaluru,12,25,Zepto,28,Yes,79961.54
Ahmedabad,11,23,DoorDash,28,No,45977.88
Ahmedabad,10,22,Blinkit,30,No,42836.54
Kochi,12,22,Zomato,19,No,26526.92
Hyderabad,9,26,Blinkit,21,Yes,38981.25
Mumbai,10,23,Blinkit,30,Yes,63858.17
Hyderabad,6,30,Grab,29,Yes,41408.65
Singapore,11,26,Zomato,29,No,189406.25
Lucknow,8,29,Deliveroo,15,No,19240.38
Kochi,7,20,Grab,15,No,11105.77
Chennai,12,28,Zepto,20,No,45230.77
Hyderabad,10,21,DoorDash,16,Yes,26653.85
Kolkata,8,21,DoorDash,19,No,19950.0
Dubai,6,23,Grab,21,Yes,49809.38
Ahmedabad,10,28,Zepto,30,No,54519.23
Ahmedabad,11,30,Dunzo,29,No,62112.98
Lucknow,12,26,Deliveroo,23,No,39675.0
Kolkata,11,21,Dunzo,16,No,23100.0
Ahmedabad,11,30,Grab,11,No,23560.1
Kolkata,6,26,Dunzo,10,No,9750.0
London,7,24,Zomato,27,Yes,191907.69
London,6,24,Zomato,14,No,77538.46
Jaipur,7,25,Zepto,27,Yes,31234.98
Dubai,6,30,Zomato,24,Yes,74250.0
Ahmedabad,9,20,Zepto,22,Yes,28272.12
Kolkata,8,30,DoorDash,11,No,16500.0
London,12,25,DoorDash,18,Yes,228461.54
Indore,7,30,DoorDash,22,Yes,29319.23
Kochi,8,20,Dunzo,10,No,8461.54
New York,11,30,Zepto,16,Yes,335076.92
Indore,8,24,DoorDash,10,No,11076.92
Kolkata,12,23,DoorDash,18,Yes,34155.0
Dubai,11,21,Dunzo,13,No,46921.88
London,12,27,Swiggy,22,Yes,301569.23
Kochi,9,27,Deliveroo,27,Yes,38167.36
New York,8,30,Deliveroo,22,Yes,335076.92
Hyderabad,6,25,Zomato,15,Yes,17848.56
Singapore,10,28,Dunzo,12,No,76730.77
Chennai,6,21,Blinkit,26,Yes,24255.0
Pune,7,27,Swiggy,27,No,38027.16
Lucknow,9,25,Swiggy,20,Yes,27367.79
Mumbai,12,29,Talabat,23,Yes,74075.48
Delhi NCR,7,25,Talabat,11,No,15733.17
Lucknow,12,26,Deliveroo,24,Yes,45540.0
Indore,11,27,Zepto,22,Yes,41465.77
Jaipur,8,30,Grab,15,No,21634.62
Kolkata,11,26,Talabat,29,No,51837.5
Kolkata,8,23,DoorDash,25,Yes,31625.0
Jaipur,7,24,Swiggy,13,No,13125.0
Kochi,12,27,Deliveroo,26,No,44550.0
New York,6,26,Swiggy,26,Yes,257400.0
Pune,6,23,Deliveroo,11,Yes,12443.22
Jaipur,8,28,Swiggy,25,Yes,37019.23
Indore,9,28,Deliveroo,29,Yes,46377.69
Delhi NCR,12,27,Dunzo,22,No,58257.69
Hyderabad,6,26,DoorDash,24,Yes,29700.0
Chennai,7,25,Dunzo,17,Yes,22026.44
Kochi,11,21,Grab,19,Yes,25532.16
Kochi,7,20,Deliveroo,16,No,11846.15
Kolkata,9,26,Deliveroo,13,Yes,20913.75
Mumbai,8,26,Swiggy,30,Yes,57750.0
Indore,7,24,Grab,20,No,19384.62
New York,11,26,Zomato,15,Yes,272250.0
London,6,27,Talabat,12,Yes,82246.15
New York,7,30,Dunzo,13,No,157500.0
Mumbai,9,22,Blinkit,22,Yes,40313.94
New York,9,26,Blinkit,26,No,351000.0
Kochi,10,30,Zepto,14,No,22211.54
Bengaluru,10,24,Deliveroo,25,No,51923.08
Chennai,9,26,Swiggy,27,No,42525.0
Singapore,8,22,Talabat,28,No,112538.46
Singapore,11,30,Talabat,11,Yes,91186.3
Bengaluru,11,28,DoorDash,27,No,71965.38
Bengaluru,11,22,Blinkit,29,No,60732.69
New York,8,21,Zomato,21,No,203538.46
Jaipur,6,22,Grab,24,Yes,20942.31
Dubai,11,21,DoorDash,11,Yes,43673.44
Kochi,9,21,Talabat,22,Yes,24188.37
Jaipur,8,21,Dunzo,27,No,27259.62
Delhi NCR,6,27,Zomato,28,No,37073.08
Jaipur,10,24,Zepto,26,Yes,41250.0
Chennai,10,24,Grab,30,Yes,53307.69
Singapore,11,21,Deliveroo,28,No,147706.73
Chennai,7,21,DoorDash,16,Yes,17413.85
Hyderabad,9,30,Blinkit,14,Yes,29985.58
Kolkata,12,23,DoorDash,26,No,44850.0
New York,8,21,Zomato,20,No,193846.15
Lucknow,12,22,Deliveroo,11,Yes,17661.35
Ahmedabad,6,22,Deliveroo,25,Yes,23560.1
Indore,8,28,Talabat,15,Yes,21323.08
Pune,11,27,Swiggy,29,Yes,70601.75
New York,8,23,Zepto,16,No,169846.15
Kochi,9,22,Dunzo,28,No,29319.23
Hyderabad,9,22,Zepto,23,Yes,36125.48
Dubai,9,28,DoorDash,30,Yes,129937.5
Kochi,11,20,Deliveroo,10,Yes,12798.08
Dubai,6,28,Swiggy,23,No,60375.0
Delhi NCR,11,29,Talabat,30,Yes,86037.98
London,8,26,Talabat,22,No,176000.0
London,9,22,Blinkit,16,No,121846.15
Chennai,10,25,Dunzo,30,No,50480.77
Chennai,11,22,Deliveroo,18,No,29319.23
Bengaluru,6,30,Zomato,28,No,43615.38
Hyderabad,6,27,Grab,15,No,17524.04
Jaipur,10,26,DoorDash,14,Yes,24062.5
Indore,9,22,Deliveroo,25,No,28557.69
London,7,20,Dunzo,11,Yes,65153.85
Indore,11,29,Grab,18,Yes,36439.62
Singapore,10,26,Zepto,29,Yes,189406.25
Pune,10,26,Grab,20,Yes,42625.0
London,9,29,Zepto,13,Yes,143550.0
Pune,10,29,Talabat,27,Yes,64183.41
Hyderabad,11,27,Grab,12,Yes,28272.12
Bengaluru,12,27,Swiggy,20,No,56076.92
Hyderabad,10,20,Dunzo,13,Yes,20625.0
Kochi,9,21,Zomato,22,Yes,24188.37
Kolkata,8,24,DoorDash,27,No,32400.0
Singapore,8,28,Talabat,22,No,112538.46
London,9,25,Grab,25,No,216346.15
Indore,9,27,Grab,24,Yes,37010.77
London,9,26,Dunzo,11,No,99000.0
Dubai,9,22,Dunzo,25,No,77343.75
Kochi,9,30,Talabat,21,Yes,32984.13
London,10,23,Blinkit,23,Yes,223807.69
Hyderabad,6,23,Talabat,28,Yes,30651.92
Kolkata,7,26,Blinkit,19,Yes,23773.75
Bengaluru,11,27,Grab,24,Yes,67853.08
Bengaluru,9,21,Swiggy,26,No,42525.0
Jaipur,8,22,Blinkit,18,No,19038.46
Ahmedabad,6,26,DoorDash,22,Yes,24502.5
Mumbai,11,21,Dunzo,29,No,56361.78
Singapore,12,27,Dunzo,27,No,199774.04
Singapore,12,22,Swiggy,23,Yes,152529.81
Bengaluru,6,25,Dunzo,27,No,35048.08
Kolkata,7,20,Swiggy,27,No,23625.0
Lucknow,9,26,Deliveroo,17,Yes,24193.13
Delhi NCR,11,26,Talabat,17,Yes,43711.25
London,8,21,Zomato,18,Yes,127938.46
